timestamp,class_name,x_cord,y_cord,width,height
0.12350034713745117,Pole,406.0,84.0,66,162
0.12350034713745117,Pole,179.0,138.5,106,277
0.07599973678588867,Pole,406.5,83.5,67,161
0.07599973678588867,Pole,178.0,137.5,106,275
0.06800055503845215,Pole,406.0,84.0,66,162
0.06800055503845215,Pole,178.5,137.5,107,275
0.0690004825592041,Pole,406.5,84.5,67,163
0.0690004825592041,Pole,178.5,137.5,107,275
0.07100105285644531,Pole,409.5,52.0,45,104
0.06999874114990234,Pole,409.5,52.0,45,104
0.06400036811828613,Pole,409.5,52.5,45,105
0.03999948501586914,Pole,409.0,51.0,44,102
0.10100007057189941,Pole,406.0,46.0,42,86
0.028500795364379883,Pole,406.0,46.5,42,87
0.11349964141845703,Pole,405.5,46.5,43,87
0.0820012092590332,Pole,406.5,47.5,41,89
0.03800010681152344,Pole,406.0,47.5,42,89
0.1444995403289795,Pole,406.5,53.0,47,106
0.06199979782104492,Pole,406.0,47.5,42,89
0.07850050926208496,Pole,409.5,65.0,47,130
0.07399988174438477,Pole,409.0,65.5,46,131
0.07500076293945312,Pole,409.0,64.5,46,129
0.07049894332885742,Pole,409.0,65.0,46,130
0.11350035667419434,Pole,409.0,56.0,44,104
0.08299994468688965,Pole,136.5,560.0,53,126
0.06850028038024902,Pole,136.0,560.0,50,130
0.0775001049041748,Pole,138.0,569.5,52,131
0.07450008392333984,Pole,140.0,569.5,58,131
0.0755002498626709,Pole,140.5,572.0,55,130
